,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,288629.79993200005,606.2135556570975,-85.9251553345688,723.8650308042412,581.6537736337015,8580.869217776213,0.0,4.860479730805733,251.0
11,225.078672,16.92864630934426,73.47698066923259,21.13803168419187,14.017176929924448,63.08480673782142,6.0,80.09249084249085,145.0
12,235.38447200000002,17.311869279976865,38.417747913367656,18.56923467639472,16.253779513955983,60.06259490855188,20.0,151.8309982486865,254.0
13,228.37652800000004,17.052214710673717,-60.863888195108125,19.77375282753683,15.03625329289288,66.6711774390431,6.0,78.25631768953069,142.0
14,344.21372,20.934815980667153,87.77983914910286,24.97666034048995,18.93419685253633,85.72581292685173,5.0,106.72035928143713,205.0
15,305.05168000000003,19.707964434814077,5.326862026184661,25.730544492894204,15.251592255317142,71.78870082318664,10.0,118.01283783783784,199.0
16,270.424192,18.55572081885946,23.320406758434967,21.669016121913756,16.495353118759972,70.38107152440833,10.0,130.17073170731706,234.0
17,297.21927200000005,19.453311557876116,88.79051484389785,23.68328214404677,16.246773060972437,68.79875378050403,32.0,116.68169209431345,225.0
18,193.74904,15.706334374464172,-17.534184337462705,20.36997483265806,12.481548255073257,59.654224207330174,23.0,179.52978723404254,255.0
19,54.00239200000001,8.292043234612914,-63.239668452451795,10.677474835709843,10.01570573549221,45.80054195123449,15.0,106.22137404580153,156.0
20,243.21688000000003,17.597538167684327,-46.358122776245715,20.150312298289183,16.54624092255437,76.36373349087566,8.0,80.87542372881356,155.0
21,218.68907600000003,16.686628765715184,87.66669290211132,21.08240264916548,13.326346338181244,61.75507152440834,5.0,83.1875589066918,155.0
22,292.272488,19.29074621573083,-72.08053855856767,24.01124156478374,16.31266468055264,87.8722895427082,4.0,66.30183356840621,124.0
23,184.47382000000002,15.325774453265204,88.95016589964409,16.988978644390947,15.504775434440608,67.25146870428873,11.0,66.75418994413408,115.0
24,82.240284,10.232867719219794,48.87922826835864,12.321884510049555,8.795377096446089,38.1738005487911,33.0,81.81453634085213,139.0
25,195.39796800000002,15.773028238689486,-76.4366223930881,22.388379704265983,11.579568832246709,62.066647865869264,16.0,90.39978902953587,140.0
26,222.60528000000002,16.835374820978696,-3.139775078611392,18.692854613096653,16.111697260318174,68.07880673782142,10.0,146.21574074074073,255.0
27,292.06637200000006,19.283942919375455,77.55219287639603,22.473934081103152,17.344178717638712,72.66720391770181,18.0,114.03528581510233,204.0
28,190.03895200000002,15.55522769767217,29.777177868037143,20.256743845552656,12.54483789413533,64.82568053355827,9.0,91.2060737527115,148.0
29,193.95515600000002,15.71468658689945,-73.71390170694895,18.981691844859604,13.065227152084411,55.97659490855187,35.0,95.65037194473963,147.0
30,111.30264000000001,11.904407699731294,-81.67273301172736,13.595709350080762,10.979985520354465,46.018091814036715,48.0,123.81296296296296,202.0
31,200.13863600000002,15.963221034132067,78.43961767507209,19.92244325151883,12.961122638325863,58.246594908551884,15.0,87.10092687950566,148.0
32,220.956352,16.77290568228482,71.3122790304597,23.103055458799986,13.552661549266668,68.0331774390431,8.0,82.30503731343283,143.0
33,132.532588,12.99021678062737,-85.24864982119561,15.961495649762968,13.458116519670908,63.2728596951388,33.0,129.55676516329706,225.0
34,87.59930000000001,10.561008136116502,37.99354338297909,14.959656659154728,10.090912395678574,54.72475378050404,8.0,76.78117647058824,144.0
35,122.22678800000001,12.474934064257063,81.77742428200673,16.653513154732494,9.755799872438656,49.760250685988865,12.0,84.98819561551433,156.0
36,173.961904,14.882713981334929,38.2164364214825,29.92670832199362,9.372445346146336,79.8883425000256,18.0,113.13862559241706,200.0
37,584.957208,27.290852848591445,34.699699324877216,34.52832304245231,22.347941909122383,125.18371939027762,12.0,73.2276250880902,145.0
38,249.81259200000002,17.834552725179037,67.21678407466061,20.57586115572385,15.90201116265335,66.70344222563003,10.0,92.8523102310231,176.0
39,176.023064,14.970622093628855,-58.630344026211034,16.261697698876265,14.113233426523701,54.20622420733017,11.0,99.08782201405153,182.0
40,318.65533600000003,20.142605961892578,11.314215479890152,30.37951428020258,15.510156770565672,106.17748108234937,13.0,64.71992238033636,172.0
41,144.899548,13.582777128696874,19.198250072368623,16.884240635478093,12.24888633321209,59.48507152440833,29.0,121.52489331436699,198.0
42,242.80464800000001,17.582618675245776,-68.65387318029502,23.339462083626213,13.578686956942098,63.61670082318664,55.0,141.31154499151103,235.0
43,270.01196000000004,18.54157234496171,20.899845262136903,24.507847745755253,14.308031103827052,74.26565405489957,5.0,80.70152671755726,162.0
44,359.46630400000004,21.393613842747364,-84.55629921040124,27.73542999996624,16.9497192395876,92.4122895427082,6.0,58.6651376146789,125.0
45,312.05962400000004,19.933054296619623,5.77773854387251,23.371424386815793,17.113007348947864,70.64701856709097,7.0,87.21928665785997,156.0
46,340.29751600000003,20.815385039589028,45.768517928485764,27.635196548581167,16.437644616551683,89.17252785063644,8.0,69.81162931556632,145.0
47,120.99009200000002,12.411662646702313,49.52732373430181,15.682122316457638,10.30555978475119,49.74411829269542,32.0,141.60136286201023,221.0
48,263.21013200000004,18.30654387472857,-0.2017296714379604,21.82552483047964,15.445341699619048,65.62075378050405,9.0,89.30070477682068,148.0
49,196.22243200000003,15.806269641712001,60.27407511026482,17.810981665251052,14.526351683225368,63.61670082318664,8.0,94.46638655462185,153.0
50,98.31733200000001,11.188454541859473,57.8250929438482,12.988798909176085,10.310638572599759,46.89659490855187,12.0,101.37945492662473,203.0
51,242.80464800000001,17.582618675245776,-25.85678971443231,24.01210669732308,14.01897112311429,72.38512448172573,23.0,73.16638370118845,151.0
52,282.37892000000005,18.96143474380583,-7.790039058549644,23.416002892861766,16.464315412503993,76.98965405489957,7.0,64.53649635036497,117.0
53,83.683096,10.322239439824525,-6.581312932800213,25.725528265814347,6.147581840636716,66.32733631099526,4.0,63.775862068965516,133.0
54,257.026652,18.09023209849125,62.439410770176956,19.63212670623727,17.288606157935792,72.01178644819305,7.0,73.34723336006415,138.0
55,382.55129600000004,22.069876256039283,-29.90259134052223,29.523203335378614,17.24500256233136,96.31300446649291,6.0,69.11853448275862,137.0
56,232.70496400000002,17.213052094877668,-1.0433345555608966,20.283681607665006,14.775314477740002,62.06664786586925,5.0,74.80513728963685,149.0
57,360.290768,21.418133752047638,56.30755554498627,29.399786836685205,15.880431852389963,88.24839545734298,4.0,63.316933638443935,137.0
58,288.76851600000003,19.17476189801815,-64.87413597024097,24.23839155146382,15.532935453131417,72.60544222563004,5.0,62.4475374732334,128.0
59,252.90433200000004,17.944575685627967,-61.00895454007549,25.246720408724663,13.209072975375138,71.85323039636049,5.0,69.95436022819887,115.0
60,263.00401600000004,18.299374677713978,63.62984042256942,28.04515759217797,13.051532432160926,94.10476615856467,7.0,73.28369905956113,142.0
61,245.69027200000002,17.68679083573779,89.33109998017358,26.16111694131038,12.659467992618202,74.57723039636049,8.0,70.51677852348993,130.0
62,279.69941200000005,18.87125729774179,19.887195480968245,23.196477572169314,15.838813537699966,75.77007771343865,7.0,67.53352984524687,121.0
63,259.08781200000004,18.16262227205393,32.67155067577275,20.138462359445224,17.433624181691403,77.47591884148652,12.0,81.1073985680191,156.0
64,273.309816,18.654459673104743,67.08531184587167,25.201177101374313,14.169271694645102,70.14738926831265,19.0,126.58898944193062,249.0
