Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,391599.75,706.1163412699096,-89.9261689798092,1090.0433787124823,485.91817271315335,6952.542691976854,0.0,139.16260799451481,254.0
2,,25.25,5.670035141386943,61.37379673064917,6.181916910753401,5.345705818139599,17.82842712474619,99.0,155.46534653465346,182.0
3,,58.5,8.63044108762739,-50.828196336460216,12.972112403332384,7.525853071450738,39.55634918610404,82.0,145.89743589743588,200.0
4,,49.5,7.938851142601841,54.91169473913601,10.727490541501064,6.88115474513549,31.89949493661166,113.0,161.6818181818182,202.0
5,,31.25,6.3078313050504,-29.54000809757822,9.588544824108567,4.480132158325333,24.899494936611664,104.0,147.76,176.0
6,,35.25,6.699380116989518,-15.584744844849029,8.856888394339613,5.370051716571217,24.36396103067893,100.0,149.34751773049646,185.0
7,,54.25,8.311031542587394,77.149617249072,12.669072937855427,6.699251265815978,36.97056274847714,96.0,151.6082949308756,200.0
8,,28.0,5.970821321441846,35.357884502877845,8.797598359536801,4.361374448940059,22.36396103067893,88.0,147.30357142857142,184.0
9,,41.25,7.247146419131151,-17.874115253380435,11.505868866403246,5.565530392776218,29.485281374238568,104.0,145.38787878787878,175.0
10,,4.75,2.4592453796829674,-12.82050749630509,2.7723491168885444,2.1478476084574902,6.707106781186548,140.0,166.26315789473685,197.0
11,,11.5,3.826519928662906,-3.238931376091192,4.632392988926057,3.4750405523908916,13.863961030678926,117.0,132.52173913043478,152.0
12,,16.75,4.61809077155419,-2.321260253941593,7.1973259368129865,3.0505894030341336,15.82842712474619,120.0,156.22388059701493,174.0
13,,7.75,3.141274657157109,-2.186129322671036,3.5521684247256196,2.9100632035520175,9.949747468305832,122.0,136.70967741935485,145.0
14,,22.5,5.352372348458314,9.01036682559053,6.342536341772393,4.792575086858112,18.32842712474619,97.0,142.5,166.0
15,,7.75,3.141274657157109,-5.003991689968151,3.5858396947681457,2.797952516180491,9.414213562373096,134.0,155.1290322580645,169.0
16,,10.0,3.5682482323055424,-6.642700463897317,4.835871325392955,2.9604642413382023,12.724873734152917,108.0,136.825,150.0
17,,21.75,5.262410103554244,42.39708544968986,6.129601535871285,4.611264742452603,17.27817459305202,119.0,132.82758620689654,143.0
18,,4.0,2.256758334191025,83.84602207160836,2.790146387989727,1.8403690210356942,6.414213562373095,135.0,155.75,174.0
19,,43.75,7.463526651802308,-89.99146983903566,11.415272352656416,6.137089482707554,30.485281374238568,109.0,143.93142857142857,184.0
20,,18.5,4.853342309955121,81.8016435591144,6.104804139666327,4.125252332980539,16.67462120245875,121.0,132.13513513513513,145.0
21,,32.25,6.407961869245868,-72.22073854392922,9.13064199930706,5.536982748253049,25.485281374238568,101.0,153.32558139534885,182.0
